Company Name,Ticker,Sector
"The Trade Desk, Inc. (NasdaqGM:TTD)",TTD,Communication Services
Publicis Groupe S.A. (ENXTPA:PUB),PUB,Communication Services
Omnicom Group Inc. (NYSE:OMC),OMC,Communication Services
"Focus Media Information Technology Co., Ltd. (SZSE:002027)",002027,Communication Services
Informa plc (LSE:INF),INF,Communication Services
WPP plc (LSE:WPP),WPP,Communication Services
"The Interpublic Group of Companies, Inc. (NYSE:IPG)",IPG,Communication Services
Dentsu Group Inc. (TSE:4324),4324,Communication Services
"CyberAgent, Inc. (TSE:4751)",4751,Communication Services
JCDecaux SE (ENXTPA:DEC),DEC,Communication Services
"BlueFocus Intelligent Communications Group Co., Ltd. (SZSE:300058)",300058,Communication Services
Affle (India) Limited (NSEI:AFFLE),AFFLE,Communication Services
Hakuhodo DY Holdings Inc (TSE:2433),2433,Communication Services
"Leo Group Co., Ltd. (SZSE:002131)",002131,Communication Services
Ströer SE & Co. KGaA (XTRA:SAX),SAX,Communication Services
"Magnite, Inc. (NasdaqGS:MGNI)",MGNI,Communication Services
Qunabox Group Limited (SEHK:917),917,Communication Services
Arabian Contracting Services Company (SASE:4071),4071,Communication Services
Ipsos SA (ENXTPA:IPS),IPS,Communication Services
"Ibotta, Inc. (NYSE:IBTA)",IBTA,Communication Services
"Guangdong Advertising Group Co.,Ltd (SZSE:002400)",002400,Communication Services
"Easy Click Worldwide Network Technology Co., Ltd. (SZSE:301171)",301171,Communication Services
4imprint Group plc (LSE:FOUR),FOUR,Communication Services
Integral Ad Science Holding Corp. (NasdaqGS:IAS),IAS,Communication Services
Havas N.V. (ENXTAM:HAVAS),HAVAS,Communication Services
Mobvista Inc. (SEHK:1860),1860,Communication Services
HealthyWay Inc. (SEHK:2587),2587,Communication Services
"NanJi E-Commerce Co., LTD (SZSE:002127)",002127,Communication Services
"TechTarget, Inc. (NasdaqGS:TTGT)",TTGT,Communication Services
"Hunan TV & Broadcast Intermediary Co., Ltd. (SZSE:000917)",000917,Communication Services
"Inmyshow Digital Technology(Group)Co.,Ltd. (SHSE:600556)",600556,Communication Services
"Zhewen Interactive Group Co., Ltd. (SHSE:600986)",600986,Communication Services
Cheil Worldwide Inc. (KOSE:A030000),A030000,Communication Services
VGI Public Company Limited (SET:VGI),VGI,Communication Services
"Three's Company Media Group Co., Ltd. (SHSE:605168)",605168,Communication Services
"Emerald Holding, Inc. (NYSE:EEX)",EEX,Communication Services
Advantage Solutions Inc. (NasdaqGS:ADV),ADV,Communication Services
"Guangdong Insight Brand Marketing Group Co.,Ltd. (SZSE:300781)",300781,Communication Services
Plan B Media Public Company Limited (SET:PLANB),PLANB,Communication Services
"Foshan Yowant Technology Co.,Ltd (SZSE:002291)",002291,Communication Services
Hangzhou Onechance Tech Crop. (SZSE:300792),300792,Communication Services
"Shanghai Fengyuzhu Culture Technology Co., Ltd. (SHSE:603466)",603466,Communication Services
Stagwell Inc. (NasdaqGS:STGW),STGW,Communication Services
Sunwave Communications Co.Ltd (SZSE:002115),002115,Communication Services
"PubMatic, Inc. (NasdaqGM:PUBM)",PUBM,Communication Services
"Clear Channel Outdoor Holdings, Inc. (NYSE:CCO)",CCO,Communication Services
Nexxen International Ltd. (AIM:NEXN),NEXN,Communication Services
APG|SGA SA (SWX:APGN),APGN,Communication Services
"Xiamen Jihong Technology Co., Ltd. (SZSE:002803)",002803,Communication Services
Eletromidia S.A. (BOVESPA:ELMD3),ELMD3,Communication Services
"Guangdong Brandmax Marketing Co.,Ltd. (SZSE:300805)",300805,Communication Services
"Thryv Holdings, Inc. (NasdaqCM:THRY)",THRY,Communication Services
"National CineMedia, Inc. (NasdaqGS:NCMI)",NCMI,Communication Services
FS Development Investment Holdings (SZSE:300071),300071,Communication Services
Zhejiang Meorient Commerce Exhibition Inc. (SZSE:300795),300795,Communication Services
"Inly Media Co., Ltd. (SHSE:603598)",603598,Communication Services
Verve Group SE (XTRA:M8G),M8G,Communication Services
"Mega-info Media Co.,Ltd. (SZSE:301102)",301102,Communication Services
YouGov plc (AIM:YOU),YOU,Communication Services
"Beijing Yuanlong Yato Culture Dissemination Co.,Ltd. (SZSE:002878)",002878,Communication Services
"Beijing Quanshi World Online Network Information Co., Ltd. (SZSE:002995)",002995,Communication Services
Innocean Worldwide Inc. (KOSE:A214320),A214320,Communication Services
"Hylink Digital Solutions Co.,Ltd (SHSE:603825)",603825,Communication Services
"Septeni Holdings Co., Ltd. (TSE:4293)",4293,Communication Services
"Zhejiang Huamei Holding CO., LTD. (SZSE:000607)",000607,Communication Services
Gambling.com Group Limited (NasdaqGM:GAMB),GAMB,Communication Services
Next 15 Group plc (AIM:NFG),NFG,Communication Services
Innovid Corp. (NYSE:CTV),CTV,Communication Services
Boston Omaha Corporation (NYSE:BOC),BOC,Communication Services
Perion Network Ltd. (NasdaqGS:PERI),PERI,Communication Services
oOh!media Limited (ASX:OML),OML,Communication Services
"Shunya International Martech (Beijing) Co., Ltd. (SZSE:300612)",300612,Communication Services
INTAGE HOLDINGS Inc. (TSE:4326),4326,Communication Services
"Simei Media Co.,Ltd. (SZSE:002712)",002712,Communication Services
Guangzhou Frontop Digital Creative Technology Corporation (SZSE:301313),301313,Communication Services
KAISA Jiayun Technology Inc. (SZSE:300242),300242,Communication Services
Fiera Milano SpA (BIT:FM),FM,Communication Services
Vector Inc. (TSE:6058),6058,Communication Services
"Macromill, Inc. (TSE:3978)",3978,Communication Services
Pico Far East Holdings Limited (SEHK:752),752,Communication Services
Team Internet Group plc (AIM:TIG),TIG,Communication Services
Powerwin Tech Group Limited (SEHK:2405),2405,Communication Services
Eraaya Lifespaces Limited (BSE:531035),531035,Communication Services
M&C Saatchi plc (AIM:SAA),SAA,Communication Services
"Macbee Planet, Inc. (TSE:7095)",7095,Communication Services
S4 Capital plc (LSE:SFOR),SFOR,Communication Services
Roctec Global Public Company Limited (SET:ROCTEC),ROCTEC,Communication Services
Brightcom Group Limited (BSE:532368),532368,Communication Services
Signpost India Limited (NSEI:SIGNPOST),SIGNPOST,Communication Services
Ai Robotics Inc. (TSE:247A),247A,Communication Services
Ceres Inc. (TSE:3696),3696,Communication Services
"Carta Holdings, Inc. (TSE:3688)",3688,Communication Services
Praveg Limited (BSE:531637),531637,Communication Services
Ruicheng (China) Media Group Limited (SEHK:1640),1640,Communication Services
Easou Technology Holdings Limited (SEHK:2550),2550,Communication Services
Entravision Communications Corporation (NYSE:EVC),EVC,Communication Services
Italian Exhibition Group S.p.A. (BIT:IEG),IEG,Communication Services
IVE Group Limited (ASX:IGL),IGL,Communication Services
"Cardlytics, Inc. (NasdaqGM:CDLX)",CDLX,Communication Services
"Shanghai LongYun Cultural Creation & Technology Group Co., Ltd. (SHSE:603729)",603729,Communication Services
Eagle Eye Solutions Group plc (AIM:EYE),EYE,Communication Services
"Rego Interactive Co., Ltd (SEHK:2422)",2422,Communication Services
"FAN Communications, Inc. (TSE:2461)",2461,Communication Services
"ValueCommerce Co., Ltd. (TSE:2491)",2491,Communication Services
